question,answer,category
受信したメールのヘッダー情報を表示したい,受信したメールのヘッダー情報は、以下の手順で確認することができます。ここでは、下記のメーラーの手順をご案内致します。・Outlook・OutlookExpress・Outlook2003・Outlook2007【Outlookの場合】１．ヘッダー情報を表示させたいメールを選択し、別ウィンドウで表示させる。２．メニューの[表示]を選択し、[オプション]をクリック。３．「インターネットヘッダー(H)」にてヘッダー情報を確認。【OutlookExpressの場合】１．ヘッダーを表示させたいメールを右クリック。２．「プロパティ(R)」をクリック。３．「詳細」タブをクリックし、「「このメッセージのインターネットヘッダー：」　　　にてヘッダー情報を確認。【Outlook2003の場合】１．ヘッダーを表示させたいメールを右クリック。２．[オプション(P)]をクリック。３．「インターネットヘッダー(H)」にてヘッダー情報を確認。【Outlook2007の場合】１．メール一覧から、ヘッダーを表示させたいメールを右クリック。２．[メッセージオプション(P)]をクリック。３．「インターネットヘッダー(H)」にてヘッダー情報を確認。※2009年11月現在,4
アカウント情報を変更したい,スパイラルに登録されている管理者様の情報変更を行う場合はアカウント情報変更を依頼していただく必要があります。CC1、CC2に登録していただいている情報もこちらから変更できます。アカウント情報変更フォームから併せて請求先の変更依頼も可能です。（１）管理画面内［管理］にある、「契約情報変更」から「アカウント情報変更依頼」をクリック。（２）現在の情報、変更情報などを入力。　　　請求先も変更したい場合は「変更する」としてご依頼ください。ご依頼をいただき弊社で変更作業を行います(１営業日いただいております)。終了後、ご担当者様にお知らせいたします。【注意点】ご依頼は現在登録しているご利用管理者様よりご依頼ください。ご登録内容確認のためにご依頼受付後、弊社より連絡させていただく場合がございます。ご入力内容に誤りがある場合、内容確認のためご希望日以降の完了となる可能性がございます。,6
DBオペレーションでデータを登録したい,DBオペレーションでは、データを一件ずつ登録することができます。１．「DBオペレーション」をクリックします。２．データを追加したいDBの［表示］をクリックします。３．データ検索画面が表示されますので、「新規登録」タブをクリックします。※テンプレート設定にて、［表示］をクリックした後の初期画面を「検索条件」「検索結果一覧」「新規登録」にそれぞれ設定することが可能です。４．登録したいデータを入力し、登録対象フィールドの左側にあるチェックボックスにチェックを入れ、入力事項を確認後、[新規登録]ボタンをクリックします。登録元などの赤い文字は必須項目ですので、必ず入力とチェックが必要です。,2
DBを削除したい,DBの削除は「通常DB」にて可能です。画面上「DB」＞「通常DB」へ進み、削除したいDBの「編集」（歯車マーク）をクリックすると「削除」メニューが表示されます。↓以下の注意メッセージが表示されます。関連設定についても削除して問題ない場合は「DB削除へ進む」ボタンをクリックします。最終確認のメッセージが表示されます。　　一度削除したDBや登録データ、関連設定は削除後に復旧できません。　　※登録されているデータがある場合は、予めバックアップを取っていただくことをお勧めいたします。　データのダウンロードは「データ一括出力」より可能です。削除しても問題ない場合は、「はい。削除して問題ありません。」にチェックをして「削除」ボタンをクリックします。以上で削除が完了します。あるいは、削除したいDBのDB名をクリック後、トップページにある「削除」ボタンからも削除が可能です。最終更新日：2017/11/29,2
スパイラル? APIのリクエスト数を変更したい,"API設定画面下部の「変更」ボタンをクリックします。変更後のリクエスト数を選択し、「確認」ボタンをクリックします。※  10回/分を越えるAPIリクエストのご利用はオプションサービスとなり、API月次利用料が発生いたします。※  3,000回/分を越えるAPIリクエストをご要望の方はユーザーズデスクまで別途ご相談ください。「注意事項に同意する」にチェックを入れ、「申込」ボタンをクリックするとリクエスト数が変更されます。※本画面にアクセスしている時点でSPIRALにご契約いただいているユーザによるものとし申込を受け付けます。※APIリクエスト上限の利用料は、ご利用月の最大APIリクエスト上限数に基づき、算出いたします。※本画面で変更いただいた内容は後からキャンセルすることはできません。",5
セキュリティ診断を実施したい,スパイラルの操作画面やwebアプリケーションに対してセキュリティ検査を実施される場合には、実施日の1週間前までを目安に弊社営業担当またはユーザーズデスクへお知らせください。通知いただきたい内容検査対象 URL検査日程検査元 IP アドレス検査業者検査当日のユーザー様または検査業者のご連絡先問い合わせ先はこちら,7
通知メールの配信ログの詳細情報が知りたい,通知メール設定の「ログダウンロード」ボタンをクリックの上取得する配信ログの詳細情報は以下です。 ------通知メールの送信日時+ 通知先アドレス+ ID（DB登録時にシステムが自動的に割り振るレコードID）+ フォームのremote_id,4
マイエリアの「セキュリティに関する設定」とはどのような機能ですか？,ログインセッション、ログインロックなど、セキュリティに関する設定をすることができます。関連するページマイエリア安全なスパイラルアプリケーションの作り方（機能グループ別）目次ログインセッション設定ログインロックパスワード強度クリックログインを許可する仮想DB(フィルタ型)URL期限設定コンテンツに関するセキュリティ設定非SSL（http）での登録クリックログインURLの暗号化パラメータ拡張1. ログインセッション設定マイエリアにログイン後、指定した時間を過ぎた場合、自動的にログアウト状態にすることができます。セッション維持時間初期値は「60分」です。5〜60分まで5分刻みで選択できます。※認証方法「4 : 会員識別キー （ 非認証 : IDログイン ）」を選択した場合、セッション維持時間は「60分」です。自動ログイン自動ログイン機能を有効にすると、ログインフォームに「ログインしたままにする（デフォルト表示）」が表示され、次回ログイン時に自動ログインすることができます。同一端末を複数人で利用する場合、他人のアカウントでログインできる可能性がありますので、ご注意ください。自動ログイン期間は最大で「31日」まで選択できます。また、自動ログイン期間中であっても、スパイラル操作画面から有効になっている自動ログインアクセスを全て遮断することができます。自動ログイン有効時の注意事項・ログインユーザーが「ログインしたままにする」にチェックを入れない場合は、60分間アクセスがないとログアウトします。　また、チェックを入れてログインした場合は、スパイラルで設定した自動ログイン有効期間、ログイン状態が維持されます。・同一のパソコンを複数人で利用する環境（インターネットカフェや図書館など）においては自動ログインが有効の場合、　ログイン者本人とは異なる人がログイン後のコンテンツを閲覧できる状況が起こりえます。　本機能をご利用になる場合は、エンドユーザー向けに当該リスクを喚起するなど、リスクを前提にご利用ください。・本機能利用における事故やトラブル等が発生した場合は、全てユーザーの責任とし、株式会社パイプドビッツは一切の責任を負いません。2. ログインロックログインロック連続してログインできなかった回数でログインロックする時間を設定できます。ログインロックを解除したい場合やログインエラー履歴を確認したい場合は、[ロック状態とエラー履歴の確認]をクリックしてください。ログインロック解除会員識別キーを確認し、[ロック解除]をクリックしてください。3. パスワード強度弱・中・強・最強から選択できます。強度の条件の詳細はこちらをご確認ください。[パスワード登録]ページソースDL、または[パスワード再登録]ページソース編集画面にて、[パスワードメーター表示]を[使用する]に 設定した場合、パスワード登録ページおよび再登録ページにパスワード強度メーターを設置することができます。4. クリックログインを許可する仮想DB(フィルタ型)仮想DB(フィルタ型)を発行している場合、クリックログインを許可するよう設定することができます。許可する仮想DBを選択し、[変更]をクリックしてください。5. URL期限設定クリックログインURLの有効期間を設定できます。チェックされない場合、メールの「URL有効期間設定」で指定された有効期間に設定されます。デフォルトの有効期間は、送信から31日間です。6. コンテンツに関するセキュリティ設定※ver1.12.4で追加される機能です。クロスサイトスクリプティング対策及びクリックジャッキング対策を行えます。やむを得ない場合を除き、「設定する」にチェックし、「クロスサイトスクリプティング対策」および「クリックジャッキング対策」にチェックすることを推奨します。クロスサイトスクリプティング対策（1）クロスサイトスクリプティングとはWebアプリケーションの脆弱性、もしくはその脆弱性を利用した攻撃のことです。攻撃者は、悪意のあるスクリプトの入ったページに利用者を誘導し、スクリプトを実行させます。（2）「クロスサイトスクリプティング対策」にチェックした場合設定すると、レスポンスヘッダに以下の要素が追加され、危険なスクリプトがブロックされます。X-XSS-Protection:1; mode=blockクリックジャッキング対策（1）クリックジャッキングとはWebページの利用者にとって意図しない動作をさせる攻撃のことです。攻撃者は、利用者が開くWebページに透明化した悪意のあるページやボタンを重ねて、利用者にとって意図しないクリックをさせます。（2）「クリックジャッキング対策」にチェックした場合設定すると、レスポンスヘッダに以下の要素が追加され、対象ページを他のページ内に設置しても表示されません。X-Frame-Options:SAMEORIGIN（3）「クリックジャッキング対策」にチェックした場合のiframeの利用iframeを利用している場合、対象ページを異なるドメインのiframeの中に設置するとページが表示されなくなります。例えば、スパイラル以外のWebページにて、iframeを使って、マイエリアに設置したページを読み込んでいる場合、マイエリアに設置したページは表示されません。ページが表示されない際の表示　・Google Chromeの場合 ：iframe内が真っ白になります。　・Safariの場合　　　　　：iframe内が真っ白になります。　・InternetExplorerの場合：iframe内に「このコンテンツはフレーム内で表示できません」というエラーが表示されます。画面イメージ（下の画像はGoogle Chromeの場合です。ブラウザによって表示が異なります。）初期値作成時の初期値が、スパイラルver1.12.4リリース前とリリース後で異なります。（1.12.4バージョンアップ前に新規作成）・チェックなし（1.12.4バージョンアップ後に新規作成）・「設定する」・「クロスサイトスクリプティング対策」および「クリックジャッキング対策」にチェック7. 非SSL（http）での登録※ver1.12.4で追加される機能です。SSL 非対応の携帯に対応するためなど、やむを得ない場合を除き、許可しない（チェックなし）ことを推奨します。非SSL（http）での登録を許可しない場合ページを表示する際、httpsでしかアクセスできません。非SSL（http）でアクセスしようとするとエラーになります。初期値作成時の初期値が、スパイラルver1.12.4リリース前とリリース後で異なります。（1.12.4バージョンアップ前に新規作成）・「許可する」（1.12.4バージョンアップ後に新規作成）・チェックなし8. クリックログインURLの暗号化パラメータ拡張[封筒製作：直接入力]および[EXPRESS2]の差替えキーワード一覧より、暗号化されたパラメータ部分の長さを拡張した [クリックログインURL（拡張）]を選択できます。[クリックログインURL（拡張）]を表示するには、差替えキーワード一覧にて、[URL表示形式:全て表示]をクリックしてください。最終更新日：2018/2/14,3
担当者IDを追加したい,"担当者IDを追加する、または新しく申し込んでいただく方法をご案内します。担当者IDの削除依頼も同じフォームから承ります。　※担当者IDは標準サービスとして３IDまで無料提供となります。　　・４ID目のご利用から１ID毎に別途\2,000(税別)の月次費用が発生いたしますのでご注意ください。　　・ID追加・削除時の設定費用は発生いたしません。　　・現在ご利用の担当者ID数の確認は管理画面内 管理グループの「ID情報」をご覧ください。（１）管理画面内[管理]にある、[契約情報変更]から「担当者ID追加・削除依頼」をクリック。（２）追加・削除する担当者IDの情報を入力。　　　担当者IDの追加か削除を選択し、情報を入力してください。ご依頼をいただき弊社で変更作業を行います(１営業日いただいております)。担当者IDを発行後に管理者様へ通知メールをお送りします。新しく追加した担当者ID用のパスワードは、「パスワード再登録」機能で発行いただきます。発行手順について、以下内容を通知メール本文に記載いたします。【発行手順】スパイラル ログイン画面へアクセス『パスワードをお忘れの場合』をクリック上記「アカウントID」「担当者ID」を入力して送信画面に表示された登録キーを確認追加した担当者IDに登録されたメールアドレス宛の通知メールを確認メール本文に記載のURLをクリックフォームからパスワードを登録※ 登録キーの有効期限は15分です。ご注意ください。※ メールが届かない場合はサポートデスクまでお問合せください。【注意点】ご依頼は現在登録している ご利用管理者様よりご依頼ください。ご登録内容確認のためにご依頼受付後、弊社より連絡させていただく場合がございます。ご入力内容に誤りがある場合、内容確認のためご希望日以降の完了となる可能性がございます。",6
S/MIMEが見られない,S/MIMEが見られない原因は2つ考えられます。・メーラーがS/MIMEに対応していない　受信したメールに「smime.p7m」というファイルが添付されます。・公開鍵と秘密鍵が対になっていない　通知先管理より「通知先アドレスを設定する」の「（2）　S/MIME 暗号化メッセージを受信するアドレスの設定」をご確認ください。,4
サンキューメールが届かない,サンキューメールが届かない場合、複数の要因が考えられます。下記手順に従い、該当するケースをご確認ください。THANKS配信登録の配信ログ「ログ」で「開く」または「保存」を行ってください。フォルダ内に「r」と「e」のテキストファイルがありますので、 まず「ｒ」のテキストファイルからご確認ください。頭文字が「r」のファイル実際にスパイラルが配信を試みた配信ログです。今回、サンキューメールが届かな かったアドレスを検索してください。 アドレスが存在する場合　配信自体は試みたが、エラーになっている可能性があります。　次に頭文字が「ｅ」のファイルをご覧ください。アドレスが存在しない場合　配信自体されていません。以下の理由が考えられます。　　・登録されたデータがオプトアウトになっている可能性があります。　　・登録自体されていない可能性があります。頭文字が「e」のファイル配信ログの中から配信エラーになったエラーログです。サンキューメールが届かなかった アドレスをご確認ください。アドレスが存在する場合　配信がエラーになっています。5.1.1のようなエラーコードを　参照し、フォルダ内にあるエラーコード表（error_code_list.txt）でエラーの　理由をご確認ください。アドレスが存在しない場合　スパイラルからの配信は成功していますが、受信側サーバにて迷惑メール　扱いになっている可能性等が考えられます。御社のシステム担当者様に受信　サーバの設定を確認していただきますようお願いいたします。,4
データを一括更新（アップデート）したい,「データ登録」より新規でデータを一括更新（アップデート）することが可能です。今回はヘッダーを使用しない一番簡単な一括更新方法をご案内致します。【手順】（１）登録手続き 　　　・[登録手続きを開始する]ボタンをクリックします。（２）アップロード（更新）　　　・登録（ヘッダー無データの登録）からDBを選択して　　　　[アップロードへ進む]をクリックします。・手元の表計算ソフトの情報をコピーアンドペーストします。（３）フィールド指定　　　・更新キーを選択します。　　　　　ここで選択されたフィールドをキーとしてデータベースとの　　　　　マッチングを行います。　　　・ＤＢのどのフィールドに対して更新を行うかを結び付けます。　　　・[ファイル検査へ進む]をクリックします。（４）ファイル検査結果　　　・データの形式が正しいかの検査結果が表示されます。　　　・重複不可フィールドに対してリスト内の重複データの処理を設定します。　　　　※フォーマット違反と判定された場合はデータをダウンロードし　　　　　データを精査のうえ、再度更新を行ってください。　　　・[ＤＢ検査へ進む]をクリックします。（５）ＤＢ検査結果　　　・更新キーに対してデータベースとのマッチング結果が表示されます。　　　・[更新する]をクリックします。（６）更新完了　　　　データ更新完了です。　　　※更新対象外のデータのみを続けて新規登録できます。,2
オプトイン記録保存機能の対象フィールドが知りたい,オプトイン記録保存の対象フィールドは、以下の2フィールドです。■メールアドレス　※ 選択可能なフィールドのタイプ　　・メールアドレス　　・メールアドレス（大・小文字を無視）■同意日時　※ 選択可能なフィールドのタイプ　　・登録日時　　・日付（○年○月○日 ○時○分○秒）DBの中に、上記日時フィールドとメールアドレスフィールドが格納されていて、メールアドレスのフィールドがDBの属性で、入力必須である必要があります。,4
共通エラーメッセージを設定したい,共通エラーメッセージとは、各フィールドで入力必須または重複不可の設定を行い、それらのエラーが発生した場合、表示されるエラーメッセージです。※各フィールドで入力必須または重複不可の設定を行い、それらのエラーが発生した場合、ここで入力したメッセージを優先して使用します。設定手順?［Web］＞［フォーム］＞「フォーム一覧」画面に進み、対象のフォームを選択します。画面左の「Menu」＞「フォーム設定」にある「共通チェック」をクリックします。「共通エラーメッセージ」エリアにて、「入力必須エラーメッセージ」と「重複不可エラーメッセージ」を入力・編集することができます。設定に問題がなければ、［変更］ボタンをクリックします。※変更をフォームに反映するには、トップページから 「変更を反映」 ボタンを押してください。最終更新日：2018/2/21,3
一問一答式のアンケートがしたい,一問一答式のアンケートは「ステップアンケート」で設定が可能です。ステップアンケートは一画面につき一つ質問を表示する段階式アンケートです。まずはじめに対象会員ＤＢの既存会員に対して案内メールを送信し、ステップアンケートへ誘導します。回答はアンケート結果ＤＢに格納されます。また、質問の回答によって次問を分岐することが可能です。ステップアンケート全体像ステップアンケートイメージ詳細は「ステップアンケート (PDF/1.43MB)」をご参照ください。,3
スパイラルAPIを設定する際の参考資料やデータが欲しい,「スパイラルAPI」を設定する際の参考資料やデータは、下記よりダウンロードいただけます。「スパイラルAPI 設定資料・データ (PDFファイル　165KB)」・メソッド一覧・ローレベルメソッド一覧・エラーコード表・署名作成方法・比較演算子一覧,5
クリックカウントを設定したい,"クリックカウントは、受信されたメール文面中のＵＲＬクリックを集計することで「誰が」「何時に」「どのコンテンツ」に 反応したか顧客の関心の度合いが得られる機能です。設定方法は2種類ございます。ＤＢグループからの設定メール文面中に差し込むURLが毎回同じ場合に推奨しています。・メール文面中のURL1つ1つに対して個別にクリックカウントの設定が可能です。・各URLごとに詳細な設定が可能です。【設定の流れ】　１．ＤＢグループからクリックカウントを設定します。　２．差し替えキーワードからクリックカウントＵＲＬを挿入します。　３．ＵＲＬの有効期間を設定します。詳細は「配信レポート以外に受信者毎のクリック情報の詳細をDBに反映したい（PDF/1,020KB) 」をご確認ください。EXPRESS2からの一括設定メール文面中に差し込むURLを頻繁に変更される場合に推奨しています。・メール文面中のURLに対し、一回でクリックカウントを設定することが可能です。【設定の流れ】　１．配信設定をします。　　　※配信予約を行ってからでないと一括設定はできません。　　　※設定の最終確認が完了するまでスタンバイはSTOPにしてください。　２．クリックカウント対象URLを選択します。　３．クリックカウントを設定します。　４．設定を確認します。　　　※サンプリング配信を行い、ジャンプ先ＵＲＬが正しいかや、　　　配信ログの出力等を確認してください。　５．ＵＲＬ有効期間設定を行います。詳細は「配信毎のクリック結果を配信レポートで確認したい（PDF/664KB) 」をご確認ください。",4
配信ログが見たい,EXPRESS２配信設定時の、配信ログ確認方法をご案内します。１.画面下「配信設定一覧」内のログを確認する対象の封筒名をクリックします。２.配信設定詳細画面で［配信ログ］ボタンをクリック後、配信ログの出力画面で［ダウンロード］ボタンをクリックします。　本番配信またはテスト配信（サンプリング）を行っていない場合、配信ログはありません。上記配信が完了してから90日を過ぎると、配信ログは削除されます。読み込み中の画像が表示されている間に「配信ログの出力」画面を閉じた場合やブラウザを更新した場合はエラーを表示いたします。ダウンロード可能なファイルサイズの上限は10GiBです。ファイルのダウンロードが開始されるまで読み込み中の画像を表示いたします。配信ログの中には最大５つのログが入っています。注意点・テスト配信にて「[１]テスト配信」を行った場合、　クリックカウントログ（頭文字が「ｃ」のファイル）およびHTML開封チェックログ（頭文字が「w」のファイル）にて　メールアドレスおよびレコードIDの部分には「0」が記録されます。最終更新日：2017/11/29,4
HTMLメール開封チェックを設定したい,HTMLメール開封チェックは、スパイラルから配信したHTMLメールの開封回数がデータベースに格納され「誰が」「何時に」 「どのコンテンツ」に反応したか顧客の関心の度合いが得られる機能です。設定方法は、サポートサイト ＞機能・仕様 > 「HTMLメール開封チェック設定」をご確認ください。,4
データを一括登録（インポート）したい,「データ登録」より新規でデータを一括登録（インポート）することが可能です。今回はヘッダーを使用しない一番簡単な一括登録方法をご案内いたします。【手順】１．登録手続き[登録手続きを開始する]ボタンをクリックします。２．アップロード（新規登録）登録（ヘッダー無データの登録）からDBを選択して［アップロードへ進む］をクリックします。手元の表計算ソフトの情報をコピーアンドペーストします。３．フィールド指定ＤＢのどのフィールドに対して登録を行うかを結び付けます。［ファイル検査へ進む］をクリックします。４．ファイル検査結果データの形式が正しいかの検査結果が表示されます。重複不可フィールドに対してリスト内の重複データの処理を設定します。※フォーマット違反と判定された場合はデータをダウンロードしデータを精査のうえ、再度登録を行ってください。［ＤＢ検査へ進む］をクリックします。５．ＤＢ検査結果重複不可フィールドに対してＤＢ内に登録済みのレコードの検査結果が表示されます。６．新規登録完了登録元選択を「新規の登録元で」を選択して［新規登録する］をクリックするとデータ登録完了です。,2
クリックレポートの見方が知りたい,"クリックカウントを設定している場合、集計結果をレポートとして閲覧できます。・トータルクリック…URLがクリックされたのべ回数・ユニーククリック…実際にURLをクリックした人数・クリックレート（％）…ユニーククリック／有効配信件数※URLタイトル「pi-pe」の場合2,590件受信されたメールのうち、4.90%にあたる127名が合計で188回クリックした。",4
エラーコードの見方が知りたい,エラーコードの一覧表をご用意しております。「エラーコードリスト (PDF/12KB) 」よりご確認ください。【代表的なエラーの種類】　・ 恒久的なエラー　　５．１．１　　メールボックスがありません　　　　　　　　（入力間違いなどで生じる）　　５．１．２　　ドメインが存在しない　　　　　　　　（入力間違いなどで生じる）　・ 一時的なエラー　　４．４．１　　接続に対する応答がない　　　　　　　　（一時的に相手のサーバが応答しない）【エラーコードの確認方法】※スパイラル管理画面で確認出来るエラーコードは、受信サーバからエラーとして返信のあったコードをそのまま記載しております。そのため、実際のエラー内容とエラーコードの意味が一致していない場合がございます。 ,4
配信停止を受け付けたい,受信者がメールの購読を停止したいとき、オプトアウト設定による停止方法と フォーム管理を使用した停止方法の2種類の設定方法が用意できます。【オプトアウト設定による解除方法】最も簡単に設定できる解除方法です。お客様ごとにユニークなURLをメールに差し込んでおき、それをクリックすることで配信の解除を受け付ける方法です。解除フラグで管理するので、誰がいつ登録して解除したのか、履歴を追うことができます。データベースのオプトアウトフィールドにフラグが立つだけであり、データベースから登録情報自体は削除されません。また、フラグを立てるためのオプトアウトフィールドをあらかじめDBに追加しておく必要があります。オプトアウト設定方法の詳細は以下をご参照ください。配信停止を文面中から受け付けてフラグ管理したい【フォーム管理を使用した解除方法】マイエリアにログイン後、フォーム管理で作成した配信停止ページにて配信の解除を受け付ける方法です。オプトアウト設定との違いは、登録ページを使用しますので解除と同時にデータベースからデータが削除される「削除型」の解除方法が使用できます。また、パスワードを利用、及び手続きメールを利用してマイエリアにログインできるため、メール本文からだけでなく、ホームページ上からも配信停止を受け付けることが可能です。フォーム管理を使用した解除方法の詳細は以下をご参照ください。IDとパスワードで受信者を管理したいメールアドレスだけで受信者を管理したい,4
フィールド値自動生成トリガとはどんな機能ですか,フィールド値自動生成トリガを設定すると、データ登録時に自動的に値を生成し、格納することができます。使用例・会員番号の自動発行・更新フォーム、削除フォームでの認証を強化する認証キーフィールドの自動発行設定可能なフィールドタイプ・数字・記号・アルファベット(32bytes)・整数・簡易パスワード詳しい設定方法は「フィールド値自動生成トリガ」をご参照ください。参考フィールド値自動生成トリガは「データメンテナンス」、または対象DBのトップページ、あるいは対象フィールドの詳細画面より設定が可能です。▼「データメンテナンス」から設定する場合↓設定をしたいDBを選択。↓▼対象DBのトップページから設定する場合↓設定をしたいDBを選択。↓▼対象フィールドの詳細画面から設定する場合↓設定をしたいフィールドを選択。↓,2
識別キーフィールドは何を選択したらいいですか,更新・削除型フォームを作成する際に、対象を識別する為に必要な識別キーフィールドは、「ID」を選択してください。識別キーとはレコードを識別するためのキーとして使用します。選択できる項目は、ID 、主キー、入力必須かつ重複不可のフィールドです。ID とは、システムがデータベースの各レコードに対して自動的に振る番号のことです。IDを選択する理由IDのほか、主キーに設定しているフィールドが識別キーフィールドとして選択可能ですので、主キーを選択しても更新・削除型フォームが作成できます。しかしながら、主キーを識別キーフィールドに選択した場合は、その主キーを変更する情報変更フォームが作成できなくなります。例えば、主キーに設定したメールアドレスフィールドを識別キーフィールドにした場合、情報変更フォームからメールアドレスの変更ができなくなります。変更されることのないＩＤを選択すれば、主キーも変更できるようになります。設定手順?［Web］＞［フォーム］＞「フォーム一覧」画面に進み、対象のフォームを選択します。画面左の「Menu」＞「フォーム設定」にある「使用フィールド」をクリックします。?識別キーフィールドとして「社員ID」を、認証キーフィールドとして「変更・削除キー」を選択します。その他、「使用するフィールド」の設定に問題がなければ、［変更］ボタンをクリックします。※変更をフォームに反映するには、トップページから 「変更を反映」 ボタンを押してください。,3
